match_id,time,avg_summoner_lvl_ally,avg_match_history_length_ally,avg_win_rate_ally,sum_champ_mastery_ally,avg_summoner_lvl_enemy,avg_match_history_length_enemy,avg_win_rate_enemy,sum_champ_mastery_enemy,win
NA1_5095106188,2024-08-29 17:41:46.933354,381.6,20.0,0.45,5099779,524.6,20.0,0.51,876569,0
NA1_5095084589,2024-08-29 17:43:06.746343,413.8,20.0,0.5,1434143,315.6,20.0,0.56,814149,0
NA1_5029298410,2024-08-29 17:43:34.097954,184.8,20.0,0.56,191168,201.0,20.0,0.45,331796,1
NA1_5029228570,2024-08-29 17:44:54.363401,307.2,20.0,0.5,285340,288.8,20.0,0.46,250332,0
NA1_5029222859,2024-08-29 17:45:22.091143,388.6,20.0,0.5,1257605,303.4,20.0,0.48,439856,1
NA1_5047138710,2024-08-29 17:45:49.671148,226.2,20.0,0.48,292928,361.6,20.0,0.54,311893,1
NA1_5047081183,2024-08-29 17:47:10.035902,449.0,20.0,0.5,295519,174.8,20.0,0.52,857699,1
NA1_5040281629,2024-08-29 17:47:37.674446,119.6,20.0,0.6,245413,405.4,20.0,0.49,507094,0
NA1_5028066149,2024-08-29 17:48:58.098573,426.4,20.0,0.49,584385,378.2,20.0,0.52,364810,0
NA1_5026366711,2024-08-29 17:49:25.878322,361.2,20.0,0.52,1217571,353.2,20.0,0.5,844274,0
NA1_5026352451,2024-08-29 17:49:53.256021,264.8,20.0,0.52,1028319,379.0,20.0,0.49,785840,0
NA1_5094763275,2024-08-29 17:51:13.227925,479.2,18.8,0.53,841100,506.6,20.0,0.5,2811669,0
NA1_5086917756,2024-08-29 17:51:41.180151,459.8,18.8,0.52,525511,257.8,20.0,0.49,322840,1
NA1_5086886151,2024-08-29 17:53:01.425885,201.2,20.0,0.55,1413318,352.6,18.8,0.51,294043,1
NA1_5007772959,2024-08-29 17:53:28.912669,271.4,16.4,0.7,646277,441.0,20.0,0.5,2751265,1
NA1_5007765815,2024-08-29 17:53:57.032496,318.0,20.0,0.53,435336,342.6,20.0,0.51,980726,0
NA1_5007052830,2024-08-29 17:55:17.239137,331.8,20.0,0.47,838346,431.6,20.0,0.52,963818,0
NA1_5040704893,2024-08-29 17:55:45.574663,485.0,20.0,0.47,619408,341.6,20.0,0.52,856966,0
NA1_5040023548,2024-08-29 17:57:05.128871,495.8,20.0,0.51,819175,317.8,20.0,0.5,361865,0
NA1_5039994509,2024-08-29 17:57:33.376342,487.8,20.0,0.48,593370,376.0,20.0,0.51,1074440,1
NA1_5097488286,2024-08-29 17:58:52.786936,249.8,20.0,0.52,1277911,346.2,20.0,0.49,2250210,0
