match_id,time,avg_summoner_lvl_team_1,avg_match_history_length_team_1,avg_win_rate_team_1,sum_champ_mastery_team_1,avg_summoner_lvl_team_2,avg_match_history_length_team_2,avg_win_rate_team_2,sum_champ_mastery_team_2,winner
NA1_5092245257,2024-08-24 21:52:22.094899,509.0,20.0,0.52,1276827,350.8,20.0,0.49,416832,2
NA1_5092227315,2024-08-24 21:53:41.256727,244.8,20.0,0.43,300710,399.8,20.0,0.54,2175567,2
NA1_5092385690,2024-08-24 21:54:09.192428,212.4,20.0,0.49,1470698,373.6,20.0,0.54,166142,2
NA1_5092367313,2024-08-24 21:55:28.555007,431.6,20.0,0.63,9450793,290.8,16.8,0.57,203588,1
NA1_5002698161,2024-08-24 21:55:57.064397,173.4,20.0,0.5,757593,275.4,20.0,0.5,1671960,1
NA1_5080307873,2024-08-24 21:56:26.411813,440.4,19.2,0.41,704963,193.0,20.0,0.51,921021,2
NA1_5080268746,2024-08-24 21:57:43.845698,484.6,20.0,0.51,1743187,473.8,20.0,0.48,1318615,2
NA1_5080210713,2024-08-24 21:58:12.218048,321.4,20.0,0.5,2800472,342.2,20.0,0.51,764270,1
NA1_5092015292,2024-08-24 21:59:31.859892,274.8,20.0,0.52,656100,424.2,20.0,0.55,828703,2
NA1_5090538723,2024-08-24 21:59:59.931780,433.0,20.0,0.51,863095,164.0,20.0,0.52,180187,1
NA1_5090076166,2024-08-24 22:00:27.958431,176.0,17.8,0.63,759144,373.4,20.0,0.48,480921,1
NA1_5094123424,2024-08-24 22:01:46.635836,524.0,20.0,0.51,749712,407.2,20.0,0.51,241572,1
NA1_5094053925,2024-08-24 22:02:14.718723,325.2,20.0,0.49,1257961,325.0,20.0,0.52,418312,1
NA1_5094079931,2024-08-24 22:03:33.898063,387.2,20.0,0.43,597646,215.8,20.0,0.53,518663,1
NA1_5093895158,2024-08-24 22:04:02.436798,301.8,20.0,0.47,689936,290.4,20.0,0.46,129507,2
NA1_5093855004,2024-08-24 22:04:30.882662,318.6,20.0,0.47,465314,273.6,20.0,0.52,538005,2
NA1_5093835984,2024-08-24 22:05:49.320317,289.0,20.0,0.49,313083,166.6,20.0,0.52,704937,2
NA1_5093315446,2024-08-24 22:06:17.722334,356.2,18.4,0.53,838767,270.4,20.0,0.47,1404606,1
NA1_5093296510,2024-08-24 22:07:36.594729,350.8,20.0,0.47,1439694,307.0,20.0,0.53,1637481,2
NA1_5092659785,2024-08-24 22:08:05.041969,337.8,20.0,0.46,2506646,282.4,20.0,0.5,705043,2
NA1_5091097746,2024-08-24 22:09:23.948847,327.2,20.0,0.49,676645,488.2,20.0,0.49,1108463,2
NA1_5091084338,2024-08-24 22:09:52.407666,186.2,20.0,0.51,2480894,433.6,20.0,0.47,1022230,2
NA1_5091068630,2024-08-24 22:10:20.485210,418.2,20.0,0.5,325132,264.2,20.0,0.47,681515,2
NA1_5006640814,2024-08-24 22:11:39.341948,480.0,20.0,0.5,291761,354.0,20.0,0.44,752855,1
NA1_5005622258,2024-08-24 22:12:07.292156,379.2,18.2,0.49,978335,441.6,20.0,0.53,378787,2
NA1_5005609900,2024-08-24 22:13:26.747690,375.0,17.8,0.55,1091446,256.2,20.0,0.51,456245,2
NA1_5085686650,2024-08-24 22:13:54.876674,325.6,20.0,0.45,1382079,238.6,20.0,0.52,467407,2
NA1_5078095928,2024-08-24 22:14:23.021007,221.4,20.0,0.48,620891,483.2,20.0,0.52,1354024,1
NA1_5075810386,2024-08-24 22:15:42.131710,163.2,20.0,0.46,109315,283.2,20.0,0.5,2114504,2
NA1_5077673907,2024-08-24 22:16:10.230808,177.2,20.0,0.55,1187137,429.2,20.0,0.5,719005,1
NA1_5063279896,2024-08-24 22:17:29.397840,533.2,20.0,0.51,610003,324.8,20.0,0.52,415351,2
NA1_5038914792,2024-08-24 22:17:57.532533,249.2,20.0,0.55,1387428,414.6,20.0,0.51,646040,1
NA1_5017966691,2024-08-24 22:18:26.078111,286.6,20.0,0.55,841858,253.2,20.0,0.48,885743,1
NA1_5017944073,2024-08-24 22:19:44.879969,517.6,20.0,0.53,2044462,408.0,20.0,0.42,2271297,1
NA1_5017187465,2024-08-24 22:20:13.122418,363.4,20.0,0.51,1056800,275.6,20.0,0.42,844464,1
NA1_5093864066,2024-08-24 22:21:32.391212,414.4,20.0,0.5,1242565,565.0,20.0,0.5,573717,1
NA1_5093847131,2024-08-24 22:22:00.930791,397.6,20.0,0.5,424059,307.8,20.0,0.52,2979801,1
NA1_5092657863,2024-08-24 22:22:29.050783,343.8,20.0,0.51,427172,512.2,20.0,0.49,1207652,1
NA1_5093404518,2024-08-24 22:23:48.210649,574.2,20.0,0.43,1169462,587.8,20.0,0.49,929811,2
NA1_5093378363,2024-08-24 22:24:16.477796,466.6,20.0,0.51,452313,510.6,20.0,0.44,675662,1
NA1_5093360362,2024-08-24 22:25:35.012003,243.0,20.0,0.5,536595,294.2,20.0,0.5,250456,1
NA1_5029298410,2024-08-24 22:26:03.030249,184.8,20.0,0.58,191168,201.0,20.0,0.45,331796,1
NA1_5029228570,2024-08-24 22:27:23.113301,307.0,20.0,0.5,285340,288.4,20.0,0.46,247849,2
NA1_5029222859,2024-08-24 22:27:51.549576,388.2,20.0,0.5,1254732,302.8,20.0,0.48,439856,1
NA1_5047138710,2024-08-24 22:28:19.551451,226.0,20.0,0.49,292928,360.8,20.0,0.54,311383,1
NA1_5047081183,2024-08-24 22:29:38.734371,448.4,20.0,0.5,295519,173.6,20.0,0.52,852229,1
NA1_5040281629,2024-08-24 22:30:08.666110,118.6,20.0,0.6,241169,404.2,20.0,0.48,498585,2
NA1_5091486031,2024-08-24 22:31:26.297361,186.4,20.0,0.49,500358,397.8,20.0,0.5,2885828,1
NA1_5091455455,2024-08-24 22:31:55.111299,85.6,18.8,0.56,88314,368.2,20.0,0.5,392871,1
NA1_5091423717,2024-08-24 22:32:25.185687,419.2,20.0,0.53,2164801,246.8,20.0,0.47,881492,1
NA1_5083762378,2024-08-24 22:33:41.748378,185.8,20.0,0.51,82907,233.6,20.0,0.49,72038,1
NA1_5083745527,2024-08-24 22:34:10.584266,414.0,20.0,0.46,2502080,280.4,20.0,0.53,1851250,1
NA1_5083739073,2024-08-24 22:35:29.475315,249.8,20.0,0.53,309495,228.0,19.2,0.65,498693,2
NA1_5081495948,2024-08-24 22:36:00.300034,360.6,20.0,0.5,1467520,171.0,20.0,0.54,264496,2
NA1_5081472512,2024-08-24 22:36:30.123380,311.4,20.0,0.48,1671357,383.6,20.0,0.49,659238,2
NA1_5037023143,2024-08-24 22:37:47.716255,513.2,20.0,0.51,2322264,218.6,20.0,0.51,459855,2
NA1_5046692634,2024-08-24 22:38:18.838461,279.4,20.0,0.55,1864624,513.8,20.0,0.48,1478483,1
NA1_5043876839,2024-08-24 22:39:32.392505,266.8,20.0,0.46,283936,263.6,20.0,0.52,1067775,2
NA1_5040629034,2024-08-24 22:40:03.458960,240.4,20.0,0.46,2969851,542.0,20.0,0.5,1487110,2
NA1_5073388839,2024-08-24 22:40:34.647257,324.2,20.0,0.5,3365722,244.8,20.0,0.56,500655,2
NA1_5073329554,2024-08-24 22:41:49.210018,401.4,20.0,0.51,810898,321.4,20.0,0.54,173730,2
NA1_5037264610,2024-08-24 22:42:19.664978,334.4,20.0,0.54,292421,355.2,20.0,0.49,518798,1
NA1_5062659449,2024-08-24 22:43:37.675895,471.6,20.0,0.51,1902914,318.8,20.0,0.53,1066697,2
NA1_5062641928,2024-08-24 22:44:16.407811,457.0,20.0,0.52,1265522,304.2,20.0,0.54,2515359,2
NA1_5062626794,2024-08-24 22:44:50.815072,324.2,20.0,0.54,1612555,455.6,20.0,0.53,480549,1
NA1_5083704073,2024-08-24 22:45:55.416573,410.0,20.0,0.55,1408398,346.2,20.0,0.48,1582440,1
NA1_5079561400,2024-08-24 22:46:30.290076,241.6,19.0,0.51,1037822,272.4,18.6,0.5,366003,1
NA1_5079554837,2024-08-24 22:47:40.665370,319.0,20.0,0.45,884637,229.0,20.0,0.53,213911,2
